,url,index,course_id,review_platform,title,provider,school,published_time,effort_hours(perWeek).,level,price,enrollment_type,course_length,subject,area,value_lead,value_lead.log,value_lead.norm,between,bet_rank,trans,trans_rank,mix_rank,mix_rank.norm,title
148,https://www.class-central.com/mooc/1726/coursera-developing-your-musicianship,5693,classCentral-2362,classCentral,Developing Your Musicianship,Coursera,Berklee College of Music,1,4,NA,39,FREE audit/Pay for certificate,7,Music and Art,Arts and Humanities,24.0000001,3.218875829,0.003629864,0.005428149,966,0.374265804,785,1751,0.946428571,Developing Your Musicianship
718,https://www.class-central.com/mooc/4352/coursera-machine-learning-foundations-a-case-study-approach,5719,classCentral-2388,classCentral,Machine Learning Foundations: A Case Study Approach,Coursera,University of Washington,3,6.5,NA,49,FREE audit/Pay for certificate,6,Machine Learning,Data Science,42.0000001,3.761200118,0.006352187,0.005349343,965,0.376766022,783,1748,0.944805195,Machine Learning Foundations: A Case Study Approach
369,https://www.class-central.com/mooc/2940/coursera-miracles-of-human-language-an-introduction-to-linguistics,4733,classCentral-1402,classCentral,Miracles of Human Language: An Introduction to Linguistics,Coursera,Leiden University,2,5,Introductory,49,FREE audit/Pay for certificate,6,Other Languages,Language Learning,46.0000001,3.850147604,0.006957148,0.005226213,964,0.641308562,581,1545,0.83495671,Miracles of Human Language: An Introduction to Linguistics
313,https://www.class-central.com/mooc/2727/coursera-work-smarter-not-harder-time-management-for-personal-professional-productivity,5083,classCentral-1752,classCentral,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",Coursera,"University of California, Irvine",2,6,NA,39,FREE audit/Pay for certificate,4,Business Essentials,Business,30.0000001,3.433987208,0.004537305,0.005114853,963,0.308724167,803,1766,0.954545455,"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity"
454,https://www.class-central.com/mooc/3322/edx-the-rise-of-superheroes-and-their-impact-on-pop-culture,3900,classCentral-569,classCentral,The Rise of Superheroes and Their Impact On Pop Culture,edX,Smithsonian Institution,2,1.5,Introductory,50,FREE audit/Pay for certificate,6,Art & Culture,Arts and Humanities,13.0000001,2.639057337,0.001966222,0.005095822,962,0.542529798,654,1616,0.873376623,The Rise of Superheroes and Their Impact On Pop Culture
267,https://www.class-central.com/mooc/2471/edx-china300x-chinese-thought-ancient-wisdom-meets-modern-science,4513,classCentral-1182,classCentral,Chinese Thought: Ancient Wisdom Meets Modern Science,edX,The University of British Columbia,2,4,NA,NA,NA,7,Art & Culture,Arts and Humanities,5.0000001,1.791759486,0.000756301,0.005073688,961,0.694541088,538,1499,0.810064935,Chinese Thought: Ancient Wisdom Meets Modern Science
876,https://www.class-central.com/mooc/564/coursera-introduction-to-engineering-mechanics,4975,classCentral-1644,classCentral,Introduction to Engineering Mechanics,Coursera,Georgia Institute of Technology,NA,6,NA,49,FREE audit/Pay for certificate,5,Mechanical Engineering,Physical Science and Engineering,412.0000001,6.023447593,0.06231105,0.004993077,960,0.435969691,739,1699,0.918290043,Introduction to Engineering Mechanics
754,https://www.class-central.com/mooc/451/coursera-introduction-to-data-science,6188,classCentral-2857,classCentral,Introduction to Data Science,Coursera,University of Washington,NA,11,NA,NA,NA,8,Data Analysis,Data Science,8.0000001,2.197224588,0.001210021,0.004827604,959,0.501082356,696,1655,0.894480519,Introduction to Data Science
473,https://www.class-central.com/mooc/339/coursera-algorithms-part-i,4879,classCentral-1548,classCentral,"Algorithms, Part I",Coursera,Princeton University,0,8,Intermediate,NA,NA,6,Algorithms,Computer Science,87.00000009,4.477336816,0.013157995,0.004752725,958,0.424366041,755,1713,0.925865801,"Algorithms, Part I"
241,https://www.class-central.com/mooc/2294/coursera-foundations-of-e-commerce,6258,classCentral-2927,classCentral,Foundations of E-Commerce,Coursera,Nanyang Technological University,2,6,NA,NA,NA,NA,Business,Business,5.0000001,1.791759486,0.000756301,0.00475204,957,0.499576223,702,1659,0.896645022,Foundations of E-Commerce
122,https://www.class-central.com/mooc/1623/edx-the-analytics-edge,3533,classCentral-202,classCentral,The Analytics Edge,edX,Massachusetts Institute of Technology,1,12.5,Intermediate,99,FREE audit/Pay for certificate,12,Data Analysis & Statistics,Data Science,127.0000001,4.852030265,0.019207602,0.004704744,956,0.32709463,800,1756,0.949134199,The Analytics Edge
525,https://www.class-central.com/mooc/3599/edx-ignorance,4062,classCentral-731,classCentral,Ignorance!,edX,Australian National University,2,4,Introductory,50,FREE audit/Pay for certificate,8,Social Sciences,Social Sciences,3.0000001,1.386294386,0.000453821,0.004687793,955,0.577943404,627,1582,0.854978355,Ignorance!
554,https://www.class-central.com/mooc/381/coursera-introduction-to-genetics-and-evolution,5344,classCentral-2013,classCentral,Introduction to Genetics and Evolution,Coursera,Duke University,0,5.5,NA,49,FREE audit/Pay for certificate,11,Biology,Life Sciences,22.0000001,3.13549422,0.003327384,0.004684732,954,0.480555153,715,1669,0.902056277,Introduction to Genetics and Evolution
