course_id,review_platform,title,school,area,subject,provider,price,level,course_length,effort_hours,published_time,time,session_open,review count,review rating,indegree,outdegree,degree,eigenvector,transitivity,constraint,closeness,betweenness,performace (t),performance (t+1),low rating ratio,mid rating ratio,high rate ratio,helpfulness score (ratio),avg. review length,url
CourseTalk-128,CourseTalk,Introduction to C++,Microsoft,Computer Science,Computer Science,edX,52,Introductory,4,4,3,3,TRUE,15,2.766666667,1,1,2,1.51E-05,4.93E-05,0.500039419,1.49E-17,291,41.5,36.5,0.333333333,0.066666667,0.6,0.933333333,469.6,83277
CourseTalk-128,CourseTalk,Introduction to C++,Microsoft,Computer Science,Computer Science,edX,52,Introductory,4,4,3,4,TRUE,11,3.318181818,4,3,7,1.86E-05,7.48E-05,0.265525475,1.16E-13,847,36.5,NA,0.181818182,0.181818182,0.636363636,0,517,83277
CourseTalk-130,CourseTalk,Poetry in America: The Poetry of Early New England,Harvard University,Arts and Humanities,Literature,edX,NA,Introductory,5,4,1,4,FALSE,1,4,2,2,4,1.18E-05,7.48E-05,0.500219353,5.49E-17,4,4,NA,0,0,1,0,547,36355
CourseTalk-133,CourseTalk,Anthropology of Current World Issues,University of Queensland,Language Learning,Humanities,edX,52,Introductory,9,2,2,2,TRUE,6,3.833333333,1,1,2,4.75E-05,2.70E-05,0.500147128,4.86E-18,187,23,38,0,0.166666667,0.833333333,0.833333333,858.3333333,81720
CourseTalk-133,CourseTalk,Anthropology of Current World Issues,University of Queensland,Language Learning,Humanities,edX,52,Introductory,9,2,2,3,TRUE,8,4.75,0,0,0,4.93E-06,0,0,0,0,38,6,0,0,1,0,389.5,81720
CourseTalk-133,CourseTalk,Anthropology of Current World Issues,University of Queensland,Language Learning,Humanities,edX,52,Introductory,9,2,2,4,TRUE,2,3,0,0,0,1.16E-05,0,0,4.92E-17,0,6,NA,0.5,0,0.5,0,340.5,81720
CourseTalk-134,CourseTalk,Advanced Introductory Classical Mechanics,Massachusetts Institute of Technology,Physical Science and Engineering,Physics,edX,1,Introductory,13,7,2,4,FALSE,4,4,0,0,0,1.16E-05,0,0,4.92E-17,0,16,NA,0.25,0,0.75,0.25,130.75,27189
CourseTalk-135,CourseTalk,Introduction to Music Theory,Berklee College of Music,Arts and Humanities,Music,edX,30,Introductory,3,5,3,3,TRUE,3,4.333333333,1,1,2,1.54E-05,4.93E-05,1.000039419,0,0,13,26.5,0,0.333333333,0.666666667,0.333333333,291.6666667,51174
CourseTalk-136,CourseTalk,Nonlinear Differential Equations: Order and Chaos,Boston University,Math and Logic,Math,edX,30,Intermediate,5,9,3,4,TRUE,2,5,0,1,1,1.88E-05,0,1.000219353,4.92E-17,0,10,NA,0,0,1,0,316.5,46983
CourseTalk-140,CourseTalk,"The Book: Monasteries, Schools, and Notaries, Part 1: Reading the Late Medieval Marseille Archive",Harvard University,Language Learning,Humanities,edX,42,Introductory,3,1.5,3,3,TRUE,1,4,1,1,2,1.51E-05,4.93E-05,0.500039419,3.77E-18,3274.166667,4,0,0,0,1,0,365,46963
CourseTalk-142,CourseTalk,Human Anatomy,Hong Kong Polytechnic University,Life Sciences,Biology & Life Sciences,edX,33,Introductory,6,3,3,3,TRUE,7,4.571428571,4,3,7,1.54E-05,4.93E-05,0.265345541,0,10699.85238,32,5,0.142857143,0,0.857142857,0,232.2857143,45486
CourseTalk-143,CourseTalk,Introduction to Oil Country Tubular Goods (OCTG),TenarisUniversity,Physical Science and Engineering,Engineering,edX,1,Introductory,3,2.5,3,3,TRUE,16,4.59375,1,1,2,1.54E-05,4.93E-05,0.500039419,6.17E-18,1950,73.5,15,0,0.0625,0.9375,0,192.0625,45476
CourseTalk-145,CourseTalk,Global Health Informatics to Improve Quality of Care,Massachusetts Institute of Technology,Life Sciences,Medicine,edX,30,Advanced,10,2.5,4,4,TRUE,4,3.75,1,1,2,1.87E-05,7.48E-05,0.500219353,1.54E-10,56,15,NA,0.25,0,0.75,0,234,83212
CourseTalk-147,CourseTalk,Introduction to Sociology,University of Texas of the Permian Basin,Social Sciences,Social Sciences,edX,30,Introductory,6,5,3,3,TRUE,23,4.282608696,2,3,5,1.53E-05,4.93E-05,0.280039419,0,5622.5,98.5,0,0.043478261,0.217391304,0.739130435,0.043478261,415.9565217,83882
CourseTalk-156,CourseTalk,Data Analysis: Take It to the MAX(),Delft University of Technology,Data Science,Data Analysis & Statistics,edX,33,Intermediate,8,5,2,3,TRUE,15,3.833333333,0,0,0,4.93E-06,0,0,0,0,57.5,9.5,0.2,0.2,0.6,0.333333333,303.5333333,80844
CourseTalk-156,CourseTalk,Data Analysis: Take It to the MAX(),Delft University of Technology,Data Science,Data Analysis & Statistics,edX,33,Intermediate,8,5,2,4,TRUE,4,2.375,1,0,1,1.87E-05,0,1.000219353,0.079769352,0,9.5,NA,0,0,1,0,212.25,80844
CourseTalk-158,CourseTalk,Programming with R for Data Science,Microsoft,Data Science,Data Analysis & Statistics,edX,52,Intermediate,6,6,3,4,TRUE,17,3.117647059,1,1,2,1.89E-05,7.48E-05,0.500219353,0.001402015,556,53,NA,0.294117647,0.058823529,0.647058824,0.117647059,620.2941176,69540
CourseTalk-163,CourseTalk,Global Warming Science,Massachusetts Institute of Technology,Physical Science and Engineering,Physics,edX,30,Intermediate,12,2.5,1,1,TRUE,6,3.333333333,3,4,7,0.000118624,3.05E-05,0.265375446,0.140308011,769.6595155,20,5,0.166666667,0.166666667,0.666666667,0,397.1666667,14080
CourseTalk-163,CourseTalk,Global Warming Science,Massachusetts Institute of Technology,Physical Science and Engineering,Physics,edX,30,Intermediate,12,2.5,1,3,TRUE,1,4,2,2,4,1.54E-05,4.93E-05,0.500039419,0,1070,4,5,0,0,1,0,333,14080
CourseTalk-167,CourseTalk,Solar Energy,Delft University of Technology,Physical Science and Engineering,Electronics,edX,33,Introductory,8,8,1,1,TRUE,11,4.727272727,0,0,0,1.73E-05,0,0,0,0,52,93.5,0,0.090909091,0.909090909,0.272727273,318,45492
CourseTalk-167,CourseTalk,Solar Energy,Delft University of Technology,Physical Science and Engineering,Electronics,edX,33,Introductory,8,8,1,2,TRUE,21,4.452380952,0,0,0,1.36E-05,0,0,1.06E-17,0,93.5,90,0.047619048,0.047619048,0.904761905,0,196.7142857,45492
CourseTalk-167,CourseTalk,Solar Energy,Delft University of Technology,Physical Science and Engineering,Electronics,edX,33,Introductory,8,8,1,3,TRUE,23,3.913043478,0,0,0,4.93E-06,0,0,0,0,90,14.5,0.130434783,0.217391304,0.652173913,0,228.0869565,45492
